delivery_id,product_id,quantity,delivery_date,supplier_id,region_id,country_id
37,68,4.0,2022-01-02 12:00:00,16.0,25,7
38,61,2160.0,2022-01-02 13:00:00,2.0,8,8
39,56,131.0,2022-01-02 14:00:00,2.0,16,6
40,90,,2022-01-02 15:00:00,,24,10
41,68,,2022-01-02 16:00:00,8.0,31,7
42,2,187.0,2022-01-02 17:00:00,14.0,1,3
43,56,450.0,2022-01-02 18:00:00,16.0,12,1
44,47,196.0,2022-01-02 19:00:00,11.0,17,3
45,97,653.0,2022-01-02 20:00:00,19.0,14,1
46,36,265.0,2022-01-02 21:00:00,16.0,17,2
47,10,350.0,2022-01-02 22:00:00,8.0,16,8
48,40,687.0,2022-01-02 23:00:00,7.0,32,8
49,11,106.0,2022-01-03 00:00:00,11.0,30,7
50,74,20.0,2022-01-03 01:00:00,6.0,22,9
51,82,696.0,2022-01-03 02:00:00,3.0,28,4
52,69,673.0,2022-01-03 03:00:00,10.0,25,10
53,99,751.0,2022-01-03 04:00:00,18.0,15,4
54,39,679.0,2022-01-03 05:00:00,16.0,10,8
55,43,654.0,2022-01-03 06:00:00,15.0,19,2
56,31,372.0,2022-01-03 07:00:00,20.0,33,6
57,49,994.0,2022-01-03 08:00:00,4.0,3,4
58,39,168.0,2022-01-03 09:00:00,9.0,12,5
59,71,909.0,2022-01-03 10:00:00,5.0,12,2
60,47,727.0,2022-01-03 11:00:00,3.0,7,3
61,59,435.0,2022-01-03 12:00:00,3.0,27,9
62,17,562.0,2022-01-03 13:00:00,20.0,28,4
63,52,830.0,2022-01-03 14:00:00,5.0,8,10
64,24,675.0,2022-01-03 15:00:00,17.0,32,1
65,51,576.0,2022-01-03 16:00:00,2.0,2,2
66,97,922.0,2022-01-03 17:00:00,13.0,21,7
67,77,361.0,2022-01-03 18:00:00,16.0,4,6
68,95,,2022-01-03 19:00:00,,18,8
69,25,696.0,2022-01-03 20:00:00,6.0,6,5
70,87,345.0,,11.0,34,9
71,72,317.0,2022-01-03 22:00:00,5.0,17,8
72,2,715.0,2022-01-03 23:00:00,13.0,6,9
73,84,811.0,2022-01-04 00:00:00,8.0,32,6
74,67,589.0,2022-01-04 01:00:00,5.0,34,7
75,53,968.0,,19.0,35,1
76,62,830.0,2022-01-04 03:00:00,,13,5
77,15,458.0,2022-01-04 04:00:00,1.0,31,1
78,70,71.0,2022-01-04 05:00:00,2.0,28,8
79,2,263.0,2022-01-04 06:00:00,12.0,32,6
80,20,642.0,2022-01-04 07:00:00,5.0,34,8
81,85,,2022-01-04 08:00:00,10.0,10,2
82,31,932.0,2022-01-04 09:00:00,18.0,8,1
83,60,265.0,,3.0,25,6
84,20,710.0,2022-01-04 11:00:00,10.0,25,7
85,59,718.0,2022-01-04 12:00:00,11.0,15,7
86,61,209.0,,,23,3
87,1,129.0,2022-01-04 14:00:00,10.0,26,8
88,2,652.0,2022-01-04 15:00:00,14.0,7,3
89,54,287.0,2022-01-04 16:00:00,8.0,9,6
90,52,454.0,2022-01-04 17:00:00,3.0,13,1
91,7,193.0,,10.0,7,6
92,73,828.0,2022-01-04 19:00:00,,17,5
93,42,971.0,2022-01-04 20:00:00,15.0,15,3
94,24,236.0,2022-01-04 21:00:00,2.0,10,4
95,21,832.0,2022-01-04 22:00:00,11.0,13,6
96,30,194.0,2022-01-04 23:00:00,11.0,18,8
97,36,224.0,2022-01-05 00:00:00,13.0,10,9
98,30,,,13.0,15,6
99,48,,2022-01-05 02:00:00,14.0,14,1
100,83,468.0,2022-01-05 03:00:00,,25,5
101,5,100.0,,8.0,29,7
102,50,37.0,2022-01-05 05:00:00,16.0,11,9
103,22,854.0,2022-01-05 06:00:00,2.0,13,1
104,38,397.0,,4.0,31,6
105,3,654.0,2022-01-05 08:00:00,2.0,19,7
106,1,242.0,2022-01-05 09:00:00,16.0,13,7
107,91,647.0,2022-01-05 10:00:00,1.0,13,7
108,36,100.0,2022-01-05 11:00:00,8.0,30,10
109,70,303.0,2022-01-05 12:00:00,9.0,13,7
110,72,247.0,2022-01-05 13:00:00,12.0,3,5
111,39,754.0,2022-01-05 14:00:00,20.0,30,6
112,16,173.0,2022-01-05 15:00:00,16.0,28,5
113,61,996.0,2022-01-05 16:00:00,14.0,30,4
114,65,130.0,2022-01-05 17:00:00,16.0,26,8
115,77,,2022-01-05 18:00:00,19.0,7,2
116,24,196.0,2022-01-05 19:00:00,11.0,1,6
117,34,774.0,2022-01-05 20:00:00,18.0,15,7
118,88,581.0,2022-01-05 21:00:00,2.0,4,3
119,19,935.0,2022-01-05 22:00:00,17.0,34,3
120,88,634.0,,14.0,17,9
121,41,,,14.0,29,2
122,51,503.0,2022-01-06 01:00:00,5.0,30,4
123,20,,2022-01-06 02:00:00,10.0,2,5
124,17,468.0,2022-01-06 03:00:00,10.0,36,4
125,93,983.0,2022-01-06 04:00:00,9.0,18,2
126,2,778.0,2022-01-06 05:00:00,4.0,19,1
127,59,181.0,2022-01-06 06:00:00,11.0,12,6
128,36,453.0,2022-01-06 07:00:00,,26,6
129,60,113.0,2022-01-06 08:00:00,18.0,13,3
130,2,340.0,2022-01-06 09:00:00,5.0,8,6
131,70,125.0,,19.0,24,9
132,8,855.0,,3.0,14,9
133,35,,2022-01-06 12:00:00,10.0,25,5
134,5,625.0,2022-01-06 13:00:00,13.0,10,4
135,93,89.0,2022-01-06 14:00:00,15.0,22,6
136,16,770.0,2022-01-06 15:00:00,20.0,25,8
137,31,141.0,2022-01-06 16:00:00,10.0,10,8
138,72,6840.0,2022-01-06 17:00:00,,9,3
139,31,898.0,2022-01-06 18:00:00,14.0,7,9
140,61,699.0,2022-01-06 19:00:00,11.0,17,10
141,18,7.0,2022-01-06 20:00:00,20.0,11,4
142,31,697.0,2022-01-06 21:00:00,19.0,27,7
143,47,661.0,2022-01-06 22:00:00,16.0,29,4
144,53,640.0,,,6,1
145,89,866.0,2022-01-07 00:00:00,13.0,22,10
146,92,562.0,2022-01-07 01:00:00,3.0,31,1
147,50,928.0,2022-01-07 02:00:00,19.0,2,8
148,74,859.0,2022-01-07 03:00:00,14.0,28,1
149,43,839.0,2022-01-07 04:00:00,19.0,13,10
150,53,,2022-01-07 05:00:00,6.0,30,1
151,37,916.0,2022-01-07 06:00:00,9.0,19,9
152,44,866.0,2022-01-07 07:00:00,6.0,9,3
153,20,696.0,,7.0,5,4
154,31,,2022-01-07 09:00:00,8.0,28,6
155,29,934.0,2022-01-07 10:00:00,,20,3
156,82,,2022-01-07 11:00:00,15.0,19,7
157,90,570.0,2022-01-07 12:00:00,17.0,33,6
158,24,783.0,2022-01-07 13:00:00,3.0,13,3
159,91,110.0,2022-01-07 14:00:00,5.0,33,3
160,39,,2022-01-07 15:00:00,4.0,31,7
161,24,496.0,,3.0,4,4
162,8,900.0,2022-01-07 17:00:00,20.0,36,1
163,1,468.0,2022-01-07 18:00:00,13.0,21,9
164,33,805.0,2022-01-07 19:00:00,8.0,2,7
165,30,484.0,2022-01-07 20:00:00,8.0,20,2
166,53,205.0,2022-01-07 21:00:00,5.0,29,10
167,22,786.0,2022-01-07 22:00:00,4.0,14,3
168,34,515.0,2022-01-07 23:00:00,2.0,22,5
169,10,746.0,2022-01-08 00:00:00,14.0,21,10
170,26,349.0,2022-01-08 01:00:00,7.0,28,4
171,45,516.0,2022-01-08 02:00:00,8.0,28,6
172,58,300.0,2022-01-08 03:00:00,4.0,36,7
173,77,959.0,,19.0,31,1
174,64,530.0,2022-01-08 05:00:00,9.0,25,2
175,92,389.0,,13.0,36,10
176,7,231.0,2022-01-08 07:00:00,9.0,4,9
177,11,564.0,2022-01-08 08:00:00,1.0,22,6
178,74,667.0,2022-01-08 09:00:00,,31,6
179,67,788.0,,4.0,9,10
180,13,,,14.0,34,8
181,14,157.0,2022-01-08 12:00:00,2.0,2,4
182,44,337.0,2022-01-08 13:00:00,14.0,2,3
183,17,,2022-01-08 14:00:00,18.0,3,4
184,60,753.0,2022-01-08 15:00:00,14.0,29,7
185,72,,2022-01-08 16:00:00,8.0,4,8
186,58,71.0,2022-01-08 17:00:00,2.0,29,6
187,97,502.0,2022-01-08 18:00:00,12.0,21,7
188,35,847.0,2022-01-08 19:00:00,,34,10
189,97,,2022-01-08 20:00:00,7.0,20,2
190,35,920.0,2022-01-08 21:00:00,1.0,10,9
191,95,614.0,2022-01-08 22:00:00,,25,1
192,72,477.0,2022-01-08 23:00:00,13.0,33,7
193,34,364.0,2022-01-09 00:00:00,12.0,23,6
194,44,461.0,2022-01-09 01:00:00,7.0,24,9
195,9,524.0,2022-01-09 02:00:00,11.0,18,7
196,70,355.0,2022-01-09 03:00:00,15.0,5,10
197,95,329.0,2022-01-09 04:00:00,3.0,3,5
198,56,617.0,2022-01-09 05:00:00,19.0,5,7
199,4,,2022-01-09 06:00:00,11.0,4,7
200,65,806.0,2022-01-09 07:00:00,,20,6
201,90,230.0,2022-01-09 08:00:00,20.0,1,8
202,76,,2022-01-09 09:00:00,20.0,26,9
203,18,958.0,2022-01-09 10:00:00,9.0,36,2
204,94,38.0,2022-01-09 11:00:00,8.0,2,9
205,32,188.0,2022-01-09 12:00:00,17.0,14,1
206,21,442.0,2022-01-09 13:00:00,16.0,13,9
207,64,224.0,2022-01-09 14:00:00,15.0,31,6
208,72,8080.0,2022-01-09 15:00:00,5.0,11,7
209,69,14.0,2022-01-09 16:00:00,1.0,30,2
210,43,319.0,2022-01-09 17:00:00,10.0,16,7
211,41,617.0,2022-01-09 18:00:00,17.0,7,1
212,57,520.0,2022-01-09 19:00:00,12.0,9,2
213,39,567.0,2022-01-09 20:00:00,2.0,29,4
214,89,837.0,2022-01-09 21:00:00,13.0,35,5
215,98,458.0,2022-01-09 22:00:00,13.0,4,3
216,85,142.0,2022-01-09 23:00:00,15.0,35,7
217,95,413.0,2022-01-10 00:00:00,7.0,18,6
218,83,482.0,2022-01-10 01:00:00,20.0,5,6
219,61,291.0,2022-01-10 02:00:00,12.0,12,9
220,31,208.0,2022-01-10 03:00:00,18.0,11,10
221,16,672.0,2022-01-10 04:00:00,19.0,29,5
222,70,212.0,2022-01-10 05:00:00,4.0,22,3
223,79,97.0,,8.0,35,5
224,68,37.0,2022-01-10 07:00:00,,3,2
225,48,785.0,,10.0,2,9
226,35,835.0,2022-01-10 09:00:00,5.0,20,5
227,97,835.0,2022-01-10 10:00:00,3.0,6,8
228,61,577.0,2022-01-10 11:00:00,11.0,11,4
229,90,,2022-01-10 12:00:00,5.0,13,10
230,34,749.0,2022-01-10 13:00:00,19.0,5,4
231,76,10.0,2022-01-10 14:00:00,11.0,31,10
232,33,,2022-01-10 15:00:00,10.0,21,9
233,19,,2022-01-10 16:00:00,9.0,19,1
234,99,148.0,2022-01-10 17:00:00,,28,4
235,2,483.0,2022-01-10 18:00:00,7.0,9,8
236,42,568.0,2022-01-10 19:00:00,12.0,15,6
237,95,,,1.0,17,9
238,41,8670.0,2022-01-10 21:00:00,5.0,35,5
239,64,756.0,2022-01-10 22:00:00,11.0,23,10
240,29,411.0,,9.0,6,3
241,98,775.0,2022-01-11 00:00:00,1.0,23,1
242,66,771.0,2022-01-11 01:00:00,6.0,21,8
243,2,318.0,2022-01-11 02:00:00,,12,9
244,47,,2022-01-11 03:00:00,11.0,31,6
245,70,532.0,2022-01-11 04:00:00,13.0,12,2
246,97,,2022-01-11 05:00:00,1.0,6,7
247,30,551.0,2022-01-11 06:00:00,2.0,10,4
248,4,706.0,2022-01-11 07:00:00,17.0,32,2
249,11,728.0,2022-01-11 08:00:00,18.0,10,5
250,86,97.0,,16.0,14,5
251,8,852.0,2022-01-11 10:00:00,10.0,31,7
252,21,37.0,2022-01-11 11:00:00,4.0,32,5
253,21,56.0,2022-01-11 12:00:00,18.0,7,9
254,54,115.0,2022-01-11 13:00:00,12.0,3,5
255,57,116.0,2022-01-11 14:00:00,4.0,27,6
256,6,811.0,2022-01-11 15:00:00,7.0,2,2
257,80,140.0,2022-01-11 16:00:00,17.0,3,6
258,44,432.0,2022-01-11 17:00:00,14.0,18,6
259,83,314.0,2022-01-11 18:00:00,11.0,23,4
260,85,433.0,2022-01-11 19:00:00,10.0,19,9
261,28,868.0,2022-01-11 20:00:00,6.0,34,2
262,36,497.0,2022-01-11 21:00:00,9.0,27,8
263,63,249.0,2022-01-11 22:00:00,8.0,13,10
264,99,209.0,2022-01-11 23:00:00,,31,9
265,7,969.0,,,21,9
266,26,280.0,2022-01-12 01:00:00,17.0,13,10
267,22,884.0,,20.0,15,10
268,28,774.0,2022-01-12 03:00:00,10.0,19,10
269,15,372.0,,,18,5
270,51,965.0,2022-01-12 05:00:00,18.0,2,4
271,88,511.0,,3.0,10,6
272,77,540.0,2022-01-12 07:00:00,,11,1
273,54,933.0,2022-01-12 08:00:00,16.0,35,2
274,65,376.0,2022-01-12 09:00:00,14.0,11,3
275,91,905.0,2022-01-12 10:00:00,1.0,35,10
276,34,920.0,2022-01-12 11:00:00,2.0,10,2
277,82,995.0,,18.0,31,3
278,43,272.0,2022-01-12 13:00:00,3.0,15,4
279,6,531.0,2022-01-12 14:00:00,9.0,35,10
280,35,643.0,2022-01-12 15:00:00,13.0,35,7
281,24,618.0,2022-01-12 16:00:00,7.0,22,5
282,69,665.0,2022-01-12 17:00:00,6.0,4,2
283,60,,2022-01-12 18:00:00,15.0,11,4
284,19,952.0,2022-01-12 19:00:00,14.0,5,4
285,17,,2022-01-12 20:00:00,5.0,34,9
286,70,376.0,2022-01-12 21:00:00,6.0,33,9
287,83,277.0,2022-01-12 22:00:00,17.0,9,7
288,8,21.0,,18.0,32,3
289,35,885.0,2022-01-13 00:00:00,2.0,10,7
290,68,782.0,,6.0,18,3
291,7,811.0,2022-01-13 02:00:00,20.0,12,7
292,67,650.0,2022-01-13 03:00:00,14.0,22,3
293,62,923.0,2022-01-13 04:00:00,3.0,13,8
294,41,698.0,2022-01-13 05:00:00,1.0,15,2
295,31,,2022-01-13 06:00:00,7.0,19,1
296,35,,2022-01-13 07:00:00,4.0,3,9
297,25,157.0,2022-01-13 08:00:00,,15,8
298,84,710.0,2022-01-13 09:00:00,19.0,15,8
299,90,793.0,2022-01-13 10:00:00,7.0,16,3
300,53,164.0,2022-01-13 11:00:00,15.0,29,8
301,35,398.0,2022-01-13 12:00:00,9.0,36,6
302,77,837.0,2022-01-13 13:00:00,9.0,4,2
303,63,735.0,2022-01-13 14:00:00,7.0,12,6
304,80,874.0,2022-01-13 15:00:00,5.0,11,8
305,63,964.0,2022-01-13 16:00:00,15.0,22,5
306,50,497.0,2022-01-13 17:00:00,11.0,19,3
307,63,515.0,2022-01-13 18:00:00,9.0,24,3
308,28,484.0,2022-01-13 19:00:00,3.0,36,3
309,18,452.0,2022-01-13 20:00:00,13.0,19,5
310,14,332.0,2022-01-13 21:00:00,14.0,29,3
311,38,680.0,2022-01-13 22:00:00,16.0,21,3
312,32,865.0,2022-01-13 23:00:00,4.0,17,3
313,98,601.0,,13.0,8,4
314,13,756.0,2022-01-14 01:00:00,9.0,3,4
315,54,991.0,2022-01-14 02:00:00,11.0,31,10
316,74,94.0,2022-01-14 03:00:00,12.0,4,3
317,100,39.0,2022-01-14 04:00:00,15.0,17,9
318,79,,2022-01-14 05:00:00,15.0,12,6
319,74,390.0,2022-01-14 06:00:00,1.0,12,6
320,56,437.0,2022-01-14 07:00:00,,30,6
321,29,613.0,2022-01-14 08:00:00,11.0,23,3
322,64,885.0,2022-01-14 09:00:00,4.0,17,5
323,90,311.0,2022-01-14 10:00:00,,36,9
324,79,301.0,2022-01-14 11:00:00,8.0,25,1
325,53,,2022-01-14 12:00:00,,6,7
326,38,155.0,2022-01-14 13:00:00,19.0,16,4
327,58,652.0,2022-01-14 14:00:00,19.0,21,5
328,35,516.0,2022-01-14 15:00:00,10.0,7,3
329,53,380.0,2022-01-14 16:00:00,20.0,22,9
330,40,606.0,,,18,3
331,10,174.0,2022-01-14 18:00:00,1.0,35,4
332,50,387.0,2022-01-14 19:00:00,12.0,35,9
333,7,632.0,,2.0,35,6
334,47,897.0,2022-01-14 21:00:00,11.0,31,4
335,35,860.0,2022-01-14 22:00:00,4.0,25,8
336,100,851.0,2022-01-14 23:00:00,11.0,1,4
337,17,,2022-01-15 00:00:00,3.0,35,1
338,84,,2022-01-15 01:00:00,17.0,22,3
339,14,1910.0,2022-01-15 02:00:00,,22,2
340,20,880.0,2022-01-15 03:00:00,2.0,1,6
341,24,126.0,2022-01-15 04:00:00,,1,2
342,91,552.0,2022-01-15 05:00:00,14.0,13,1
343,24,343.0,,6.0,30,2
344,92,891.0,2022-01-15 07:00:00,,36,9
345,65,555.0,,9.0,29,8
346,37,380.0,2022-01-15 09:00:00,12.0,7,5
347,57,205.0,2022-01-15 10:00:00,10.0,7,6
348,73,8800.0,,4.0,6,7
349,95,14.0,2022-01-15 12:00:00,5.0,14,10
350,92,868.0,2022-01-15 13:00:00,9.0,19,8
351,30,,2022-01-15 14:00:00,19.0,25,8
352,91,34.0,2022-01-15 15:00:00,4.0,7,3
353,99,39.0,2022-01-15 16:00:00,10.0,3,1
354,29,498.0,2022-01-15 17:00:00,9.0,6,9
355,41,843.0,2022-01-15 18:00:00,3.0,13,4
356,76,540.0,2022-01-15 19:00:00,4.0,28,10
357,46,375.0,2022-01-15 20:00:00,5.0,10,10
358,39,76.0,2022-01-15 21:00:00,,16,2
359,29,810.0,2022-01-15 22:00:00,13.0,11,4
360,26,151.0,2022-01-15 23:00:00,10.0,14,8
361,98,557.0,2022-01-16 00:00:00,20.0,18,8
362,93,121.0,2022-01-16 01:00:00,3.0,10,8
363,33,,2022-01-16 02:00:00,1.0,35,2
364,86,577.0,2022-01-16 03:00:00,,20,8
365,18,617.0,2022-01-16 04:00:00,9.0,32,8
366,69,478.0,2022-01-16 05:00:00,9.0,18,7
367,80,633.0,2022-01-16 06:00:00,17.0,7,8
368,29,463.0,2022-01-16 07:00:00,15.0,33,3
369,86,708.0,2022-01-16 08:00:00,,25,8
370,94,950.0,2022-01-16 09:00:00,12.0,19,6
371,89,453.0,2022-01-16 10:00:00,17.0,18,7
372,81,545.0,2022-01-16 11:00:00,9.0,13,9
373,86,380.0,2022-01-16 12:00:00,3.0,4,1
374,62,,2022-01-16 13:00:00,8.0,8,8
375,24,,2022-01-16 14:00:00,18.0,30,9
376,57,,,3.0,17,3
377,53,485.0,2022-01-16 16:00:00,7.0,26,10
378,39,,2022-01-16 17:00:00,3.0,14,2
379,63,919.0,2022-01-16 18:00:00,13.0,18,4
380,52,358.0,2022-01-16 19:00:00,20.0,29,7
381,99,,2022-01-16 20:00:00,3.0,7,3
382,19,35.0,,9.0,1,7
383,100,170.0,2022-01-16 22:00:00,5.0,26,9
384,35,73.0,2022-01-16 23:00:00,5.0,2,6
385,7,648.0,2022-01-17 00:00:00,,17,1
386,48,617.0,2022-01-17 01:00:00,18.0,9,4
387,44,781.0,2022-01-17 02:00:00,16.0,15,6
388,74,,2022-01-17 03:00:00,10.0,19,8
389,24,,2022-01-17 04:00:00,4.0,31,7
390,80,31.0,2022-01-17 05:00:00,4.0,29,7
391,85,625.0,2022-01-17 06:00:00,17.0,11,10
392,55,945.0,2022-01-17 07:00:00,14.0,18,6
393,68,551.0,2022-01-17 08:00:00,8.0,4,8
394,75,446.0,2022-01-17 09:00:00,13.0,2,5
395,75,266.0,2022-01-17 10:00:00,9.0,5,8
396,28,700.0,,15.0,15,6
397,37,870.0,2022-01-17 12:00:00,3.0,22,6
398,42,116.0,2022-01-17 13:00:00,9.0,24,9
399,39,217.0,,14.0,31,2
400,43,374.0,2022-01-17 15:00:00,1.0,6,2
401,27,237.0,,2.0,25,6
402,43,904.0,2022-01-17 17:00:00,1.0,34,1
403,55,205.0,2022-01-17 18:00:00,15.0,13,2
404,86,778.0,2022-01-17 19:00:00,12.0,1,2
405,76,276.0,2022-01-17 20:00:00,,34,5
406,98,928.0,2022-01-17 21:00:00,15.0,4,6
407,44,913.0,,8.0,6,2
408,4,523.0,2022-01-17 23:00:00,1.0,16,2
409,74,401.0,2022-01-18 00:00:00,11.0,14,2
410,51,736.0,2022-01-18 01:00:00,5.0,33,2
411,65,319.0,2022-01-18 02:00:00,19.0,29,1
412,31,861.0,,20.0,23,10
413,75,282.0,2022-01-18 04:00:00,11.0,32,6
414,5,269.0,2022-01-18 05:00:00,3.0,35,7
415,33,377.0,2022-01-18 06:00:00,5.0,16,1
416,6,111.0,2022-01-18 07:00:00,7.0,3,1
417,78,818.0,2022-01-18 08:00:00,16.0,1,10
418,95,532.0,2022-01-18 09:00:00,8.0,22,8
419,25,313.0,2022-01-18 10:00:00,19.0,29,8
420,54,548.0,2022-01-18 11:00:00,18.0,28,1
421,58,570.0,2022-01-18 12:00:00,12.0,10,7
422,79,561.0,,,14,4
423,66,60.0,2022-01-18 14:00:00,15.0,24,7
424,48,,2022-01-18 15:00:00,10.0,30,4
425,84,,2022-01-18 16:00:00,,30,4
426,66,407.0,,8.0,3,6
427,94,664.0,2022-01-18 18:00:00,11.0,12,5
428,73,220.0,2022-01-18 19:00:00,17.0,22,5
429,56,,2022-01-18 20:00:00,,25,7
430,66,,2022-01-18 21:00:00,3.0,17,1
431,99,520.0,,2.0,27,7
432,76,717.0,2022-01-18 23:00:00,10.0,16,6
433,13,487.0,2022-01-19 00:00:00,19.0,24,1
434,45,,2022-01-19 01:00:00,6.0,3,5
435,61,667.0,2022-01-19 02:00:00,8.0,21,7
436,39,609.0,,14.0,16,6
437,4,40.0,2022-01-19 04:00:00,17.0,1,2
438,20,189.0,2022-01-19 05:00:00,4.0,18,2
439,3,618.0,2022-01-19 06:00:00,15.0,35,2
440,35,884.0,2022-01-19 07:00:00,18.0,13,9
441,51,971.0,2022-01-19 08:00:00,5.0,36,8
442,16,455.0,2022-01-19 09:00:00,6.0,20,4
443,49,135.0,,15.0,12,7
444,2,744.0,,16.0,6,6
445,72,651.0,2022-01-19 12:00:00,7.0,32,3
446,50,790.0,2022-01-19 13:00:00,19.0,29,6
447,87,998.0,2022-01-19 14:00:00,17.0,10,1
448,2,418.0,2022-01-19 15:00:00,19.0,27,5
449,1,,2022-01-19 16:00:00,12.0,2,4
450,11,441.0,2022-01-19 17:00:00,3.0,33,3
451,78,237.0,2022-01-19 18:00:00,6.0,34,7
452,61,957.0,2022-01-19 19:00:00,4.0,24,1
453,47,528.0,2022-01-19 20:00:00,7.0,24,3
454,88,536.0,2022-01-19 21:00:00,5.0,8,9
455,57,433.0,,13.0,34,1
456,66,303.0,2022-01-19 23:00:00,14.0,9,4
457,63,,2022-01-20 00:00:00,3.0,28,2
458,41,106.0,2022-01-20 01:00:00,14.0,30,6
459,56,809.0,2022-01-20 02:00:00,,16,8
460,55,545.0,2022-01-20 03:00:00,19.0,11,7
461,38,979.0,2022-01-20 04:00:00,,2,10
462,55,360.0,2022-01-20 05:00:00,20.0,17,4
463,92,555.0,2022-01-20 06:00:00,8.0,18,3
464,4,542.0,2022-01-20 07:00:00,7.0,17,7
465,21,711.0,2022-01-20 08:00:00,13.0,15,10
466,76,317.0,2022-01-20 09:00:00,15.0,3,2
467,29,,2022-01-20 10:00:00,20.0,7,7
468,21,743.0,2022-01-20 11:00:00,20.0,3,6
469,2,380.0,2022-01-20 12:00:00,5.0,28,4
470,79,,2022-01-20 13:00:00,10.0,1,5
471,70,580.0,2022-01-20 14:00:00,6.0,18,4
472,42,353.0,2022-01-20 15:00:00,15.0,28,3
473,82,584.0,2022-01-20 16:00:00,11.0,5,3
474,17,274.0,2022-01-20 17:00:00,17.0,14,4
475,9,657.0,2022-01-20 18:00:00,6.0,19,2
476,39,765.0,2022-01-20 19:00:00,11.0,10,6
477,93,356.0,2022-01-20 20:00:00,8.0,4,4
478,37,526.0,,16.0,27,4
479,94,292.0,2022-01-20 22:00:00,,32,2
480,74,,2022-01-20 23:00:00,8.0,23,6
481,14,,2022-01-21 00:00:00,8.0,1,1
482,52,529.0,2022-01-21 01:00:00,5.0,9,3
483,69,766.0,2022-01-21 02:00:00,7.0,27,8
484,6,,2022-01-21 03:00:00,19.0,1,7
485,88,522.0,2022-01-21 04:00:00,4.0,34,7
486,48,638.0,2022-01-21 05:00:00,12.0,20,6
487,57,936.0,2022-01-21 06:00:00,3.0,35,7
488,94,906.0,2022-01-21 07:00:00,3.0,22,9
489,99,457.0,2022-01-21 08:00:00,13.0,32,3
490,40,687.0,2022-01-21 09:00:00,20.0,30,4
491,82,611.0,2022-01-21 10:00:00,8.0,30,5
492,92,712.0,2022-01-21 11:00:00,16.0,32,1
493,89,404.0,2022-01-21 12:00:00,,5,10
494,13,15.0,2022-01-21 13:00:00,20.0,2,7
495,18,193.0,2022-01-21 14:00:00,13.0,26,4
496,83,,2022-01-21 15:00:00,14.0,15,3
497,22,755.0,2022-01-21 16:00:00,11.0,3,2
498,22,949.0,2022-01-21 17:00:00,,7,8
499,23,,2022-01-21 18:00:00,6.0,32,3
500,9,30.0,2022-01-21 19:00:00,5.0,17,5
501,20,628.0,2022-01-21 20:00:00,18.0,33,10
502,71,403.0,2022-01-21 21:00:00,7.0,4,7
503,23,828.0,,,19,9
504,75,826.0,2022-01-21 23:00:00,12.0,23,7
505,31,218.0,2022-01-22 00:00:00,,31,6
506,47,282.0,2022-01-22 01:00:00,,7,4
507,33,133.0,2022-01-22 02:00:00,16.0,1,8
508,59,938.0,,17.0,5,6
509,49,553.0,2022-01-22 04:00:00,1.0,15,2
510,1,,2022-01-22 05:00:00,2.0,1,6
511,63,943.0,2022-01-22 06:00:00,8.0,6,9
512,37,140.0,2022-01-22 07:00:00,12.0,22,2
513,24,755.0,,17.0,2,9
514,95,628.0,2022-01-22 09:00:00,16.0,8,10
515,18,766.0,2022-01-22 10:00:00,3.0,33,8
516,92,955.0,2022-01-22 11:00:00,12.0,34,5
